Individual.ID	Replicate?	Seq.Rep	KF.Num	Sample.ID	Library.ID		Sample.type	Subspecies	Subspecies.ID	Region	Region.ID	Lat	Long	Sex.Field	GenomeWideAvgDepth.old	XChrAvgDepth.old	Sex.Gen	Sex.Final	Age	Date.Collected	FirstYear	Lib.ID
SJKF-Bak-2001-M-013	0	0	013	S21-4613	S21-4613	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.33954463	-119.1269552	M	48.0105	34.0221	M	M	Adult	11/16/01	2001	GBS1
SJKF-Bak-2001-M-425	0	0	425	S22-3642	S22-3642	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.36625	-119.06377	U	9.42015	8.17643	M	M	unknown	11/16/01	2001	GBS6
SJKF-Bak-2001-M-428	0	0	428	S22-3655	S21-4616	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.42701335	-119.0930907	M	97.1871	74.9837	M	M	Adult	11/16/01	2001	GBS1
SJKF-Bak-2001-M-428	1	0	428	S22-3655	S22-3655	1	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.42698	-119.0931	U	97.1871	74.9837	M	M	unknown	11/16/01	2001	GBS6
SJKF-Bak-2001-M-429	0	0	429	S22-3662	S22-3662	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.31835	-119.09283	U	10.1952	8.63267	M	M	unknown	11/16/01	2001	GBS6
SJKF-Bak-2001-U-426	0	0	426	S22-3645	S22-3645	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.3397	-119.09326	U	4.00471	4.04837	F	U	unknown	11/16/01	2001	GBS6
SJKF-Bak-2001-U-427	0	0	427	S22-3647	S22-3647	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.38282	-118.89924	U	3.54481	3.60387	F	U	unknown	11/16/01	2001	GBS3
SJKF-Bak-2001-U-430	0	0	430	S22-3663	S22-3663	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.35761	-119.09227	U	2.66588	2.57704	F	U	unknown	11/16/01	2001	GBS6
SJKF-Bak-2002-F-017	0	0	017	S21-4621	S21-4621	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.43490934	-118.8986598	F	161.396	165.007	F	F	Adult	8/16/02	2002	GBS1
SJKF-Bak-2002-M-002	0	0	002	S21-4599	S21-4599	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.34716999	-119.0676391	M	77.0939	51.5438	M	M	Adult	12/8/02	2002	GBS1
SJKF-Bak-2002-M-007	0	0	007	S21-4605	S21-4605	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.3507664	-119.1051242	M	43.7086	30.7606	M	M	Juvenile	12/4/02	2002	GBS1
SJKF-Bak-2002-M-016	0	0	016	S21-4618	S21-4618	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.35414122	-119.1398869	M	33.5034	23.7033	M	M	unknown	1/17/02	2002	GBS1
SJKF-Bak-2002-M-020	0	0	020	S21-4624	S21-4624	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.44150473	-119.0782645	M	27.8262	23.9924	M	M	Adult	12/12/02	2002	GBS1
SJKF-Bak-2002-M-021	0	0	021	S21-4625	S21-4625	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.35209514	-118.948938	M	32.9649	23.1968	M	M	Adult	12/8/02	2002	GBS1
SJKF-Bak-2003-F-004	0	0	004	S21-4602	S21-4602	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.29047583	-119.0426834	F	27.1636	28.8174	F	F	Adult	2/26/03	2003	GBS1
SJKF-Bak-2003-F-010	0	0	010	S21-4609	S21-4609	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.35179146	-119.0635933	F	25.7787	27.2699	F	F	Adult	6/4/03	2003	GBS1
SJKF-Bak-2003-F-011	0	0	011	S21-4610	S21-4610	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.35257764	-119.1266101	F	58.5801	59.0332	F	F	Juvenile	3/25/03	2003	GBS1
SJKF-Bak-2003-F-012	0	0	012	S21-4612	S21-4612	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.32913204	-119.12089	F	59.303	60.3622	F	F	Juvenile	10/13/03	2003	GBS1
SJKF-Bak-2003-F-025	0	0	025	S21-4630	S21-4630	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.33819972	-119.0949672	F	162.401	167.053	F	F	unknown	12/23/03	2003	GBS1
SJKF-Bak-2003-M-006	0	0	006	S21-4604	S21-4604	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.3507664	-119.1051242	M	59.6854	42.1488	M	M	Adult	1/3/03	2003	GBS1
SJKF-Bak-2003-M-022	0	0	022	S21-4626	S21-4626	0	Tissue	SanJoaquinKitFox	SJKF	Bakersfield	Bak	35.34844203	-119.1077837	M	105.477	72.1305	M	M	Adult	6/1/03	2003	GBS1
